  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  3.0000e-13         106.930132182                     0        5643.94237213        -46405.1263028        -40761.1839307 
  3.0500e-13         108.731944489                     0        5739.04489014         -46595.367615        -40856.3227248 
  3.1000e-13           110.5868576                     0        5836.95015309        -46791.2154361         -40954.265283 
  3.1500e-13         112.488135419                     0        5937.30261896        -46991.9583976        -41054.6557787 
  3.2000e-13         114.428934478                     0        6039.74107874        -47196.8738896        -41157.1328109 
  3.2500e-13         116.402355782                     0        6143.90139247        -47405.2334826        -41261.3320901 
  3.3000e-13         118.401490164                     0        6249.41888334        -47616.3076698        -41366.8887865 
  3.3500e-13         120.419463346                     0        6355.93071603         -47829.370589         -41473.439873 
  3.4000e-13         122.449485264                     0        6463.07850015         -48043.705212        -41580.6267118 
  3.4500e-13         124.484905846                     0        6570.51123434        -48258.6092346        -41688.0980003 
  3.5000e-13         126.519276685                     0        6677.88856143        -48473.4016096        -41795.5130482 
  3.5500e-13         128.546415345          84584954.086         6784.8841626        -48687.4293723        -41902.5452097 
  3.6000e-13         130.558850347                     0        6891.10368135        -48899.9040067        -42008.8003254 
  3.6500e-13         132.552373975                     0         6996.3250277        -49110.3806742        -42114.0556465 
  3.7000e-13         134.521873477                     0        7100.27834252        -49318.3196367        -42218.0412942 
  3.7500e-13         136.462665745                     0        7202.71644384        -49523.2267153        -42320.5102715 
  3.8000e-13         138.370477615                     0        7303.41378735        -49724.6512512        -42421.2374638 
  3.8500e-13         140.241389483         162250952.506        7402.16349008        -49922.1801846        -42520.0166945 
  3.9000e-13         142.066683938         90489909.1801        7498.50543321        -50114.8941783         -42616.388745 
  3.9500e-13          143.84867001         67247234.1002         7592.5614911        -50303.0390679        -42710.4775768 
  4.0000e-13         145.583765062         70315978.0675        7684.14256633        -50486.2379474        -42802.0953811 
  4.0500e-13         147.265847785         167389069.399        7772.92556659        -50663.8463062        -42890.9207396 
  4.1000e-13         148.889701661                     0        7858.63515574        -50835.3138726        -42976.6787169 
  4.1500e-13         150.451068797                     0        7941.04659541        -51000.1909906        -43059.1443952 
  4.2000e-13          151.94436037                     0        8019.86489867        -51157.8867623        -43138.0218636 
  4.2500e-13         153.363594029         68692374.8764        8094.77430746         -51307.767837        -43212.9935295 
  4.3000e-13         154.702360908          72339582.475        8165.43655167        -51449.1556366        -43283.7190849 
  4.3500e-13         155.956337933         123012077.211        8231.62345261        -51581.5914195        -43349.9679669 
  4.4000e-13         157.121096798         60231302.4374        8293.10127722        -51704.6053068        -43411.5040296 
  4.4500e-13         158.188371559         214194537.325        8349.43373584        -51817.3228649         -43467.889129 
  4.5000e-13         159.155043319         243095590.363         8400.4562081        -51919.4132997        -43518.9570916 
  4.5500e-13         160.019883916         234654923.173        8446.10386976        -52010.7458046        -43564.6419348 
  4.6000e-13         160.782487682         130316999.806         8486.3553089        -52091.2760652        -43604.9207563 
  4.6500e-13         161.441285149         416698410.037        8521.12768653        -52160.8341787        -43639.7064921 
  4.7000e-13         162.001048611         189391590.725        8550.67289194        -52219.9220557        -43669.2491638 
  4.7500e-13         162.469896621         223901740.351        8575.41943529        -52269.3948021        -43693.9753668 
  4.8000e-13          162.85240222         131682038.916        8595.60868889         -52309.737381        -43714.1286921 
  4.8500e-13         163.157024765         92528517.6198         8611.6871511        -52341.8493823        -43730.1622312 
  4.9000e-13         163.399151818         110139263.658        8624.46700193        -52367.3618622        -43742.8948602 
  4.9500e-13         163.589672246         162480427.421        8634.52297298        -52387.4346178        -43752.9116448 
  5.0000e-13         163.737570033         196293930.084        8642.32925328        -52403.0237879        -43760.6945346 
  5.0500e-13         163.853415136         396916454.107        8648.44374198        -52415.2496377        -43766.8058957 
  5.1000e-13          163.94561509         350422768.417        8653.31020217        -52424.9983239        -43771.6881217 
  5.1500e-13         164.017238865         342394933.445        8657.09061887        -52432.5867961        -43775.4961772 
  5.2000e-13         164.063132654         153753813.751        8659.51296601        -52437.4622603        -43777.9492943 
  5.2500e-13         164.085863605          452235516.15        8660.71274176        -52439.8876644        -43779.1749227 
  5.3000e-13         164.081537986          209607341.45        8660.48442867        -52439.4495578        -43778.9651292 
  5.3500e-13         164.050166447         171667742.974        8658.82858897        -52436.1453696        -43777.3167806 
  5.4000e-13           163.9921578         53172580.4238         8655.7668004        -52430.0208126        -43774.2540122 
  5.4500e-13          163.91043327         55978473.9214        8651.45324978        -52421.3881251        -43769.9348753 
  5.5000e-13         163.808041823         140846457.777        8646.04886641        -52410.5758186        -43764.5269522 
  5.5500e-13         163.690015563         322281155.507        8639.81925278        -52398.1211661        -43758.3019133 
  5.6000e-13         163.559380255         134607107.654        8632.92411355        -52384.3481114        -43751.4239979 
  5.6500e-13         163.414359582         168593919.824        8625.26969186        -52369.0664111        -43743.7967193 
  5.7000e-13         163.253233714         212262062.716        8616.76521239        -52352.0891659        -43735.3239535 
  5.7500e-13         163.070090689         222860646.875        8607.09863237        -52332.7841722        -43725.6855398 
  5.8000e-13         162.859426744         274135161.209        8595.97945445        -52310.5659454        -43714.5864909 
  5.8500e-13         162.623892298           111868566.5        8583.54757193        -52285.7059979        -43702.1584259 
  5.9000e-13         162.365305783         330708377.945        8569.89896458        -52258.3950676         -43688.496103 
  5.9500e-13         162.082820115         220954950.284        8554.98892196        -52228.5499244        -43673.5610025 
  6.0000e-13         161.784426167         294547436.057        8539.23921499        -52197.0168782        -43657.7776632 
  6.0500e-13           161.4742392         352728984.206        8522.86705373        -52164.2383119        -43641.3712582 
  6.1000e-13         161.162857134         334578335.586        8506.43181326        -52131.3378416        -43624.9060284 
  6.1500e-13          160.85851157         216604012.403        8490.36797055        -52099.1865965        -43608.8186259 
  6.2000e-13         160.562290921         477540210.646        8474.73297379        -52067.9004949        -43593.1675211 
  6.2500e-13         160.277817867         377117442.114        8459.71803371        -52037.8625483        -43578.1445146 
  6.3000e-13         160.005132574         494751240.071        8445.32527045        -52009.0803701        -43563.7550996 
  6.3500e-13           159.7548389         336756506.521        8432.11437241        -51982.6697107        -43550.5553383 
  6.4000e-13         159.520614982         274860696.529        8419.75166169         -51957.962111        -43538.2104493 
  6.4500e-13         159.301385539         224051633.403        8408.18038315        -51934.8388706        -43526.6584874 
  6.5000e-13         159.093631334         288398599.031        8397.21478592        -51912.9234842        -43515.7086982 
  6.5500e-13         158.901579449         350699658.373        8387.07798209        -51892.6572569        -43505.5792748 
  6.6000e-13         158.719354938         398465978.526         8377.4598827        -51873.4192476        -43495.9593649 
  6.6500e-13         158.550678686         388006589.164        8368.55688201        -51855.6040204        -43487.0471384 
  6.7000e-13         158.396543871         181977768.812        8360.42140143        -51839.3211711        -43478.8997697 
  6.7500e-13         158.254183317         191719133.691        8352.90738503        -51824.2856106        -43471.3782256 
  6.8000e-13         158.125685047         330334432.036        8346.12504208        -51810.7251131         -43464.600071 
  6.8500e-13         158.010308007         256416710.322        8340.03525848        -51798.5662094        -43458.5309509 
  6.9000e-13         157.904205177         418975238.281        8334.43498243        -51787.4006953        -43452.9657129 
  6.9500e-13         157.805652723         335896460.646        8329.23322721        -51777.0411898        -43447.8079626 
  7.0000e-13         157.704073101         170632377.089        8323.87169331        -51766.3618909        -43442.4901976 
  7.0500e-13         157.592699535         115479066.379         8317.9932194        -51754.6371179        -43436.6438985 
  7.1000e-13         157.463180014         404911630.307        8311.15697318        -51740.9763271        -43429.8193539 
  7.1500e-13            157.313189         298214972.002        8303.24020903        -51725.1350492        -43421.8948401 
  7.2000e-13         157.134321081          114305447.98        8293.79927591        -51706.2250045        -43412.4257286 
  7.2500e-13          156.94189174         192132847.616        8283.64254935        -51685.8655522        -43402.2230029 
  7.3000e-13         156.743858899         157830281.329         8273.1900612        -51664.9048077        -43391.7147465 
  7.3500e-13         156.542066628         150661450.905        8262.53914429          -51643.54743        -43381.0082857 
  7.4000e-13         156.345418466         219239162.681         8252.1597417        -51622.7396681        -43370.5799264 
  7.4500e-13         156.156302917         210942437.027        8242.17792237        -51602.7376593         -43360.559737 
  7.5000e-13         155.979298817         119888289.031        8232.83536455         -51584.026176        -43351.1908115 
  7.5500e-13         155.822257066         108974002.473        8224.54645127        -51567.4323359        -43342.8858846 
  7.6000e-13         155.683812262         421392641.943        8217.23911445        -51552.8100165        -43335.5709021 
  7.6500e-13          155.56875263         198459710.323        8211.16608414        -51540.6604911         -43329.494407 
  7.7000e-13         155.479582344         369652861.214        8206.45953466        -51531.2449192        -43324.7853845 
  7.7500e-13         155.414508265         111079761.009        8203.02482135        -51524.3738268        -43321.3490054 
  7.8000e-13         155.368475213         150977281.151        8200.59512369        -51519.5127293        -43318.9176056 
  7.8500e-13         155.347512874          60143678.528        8199.48869811        -51517.3016212         -43317.812923 
  7.9000e-13         155.346453357          301976203.14        8199.43277511        -51517.1966368        -43317.7638617 
  7.9500e-13         155.361208083         155822245.376        8200.21155302        -51518.7674145        -43318.5558615 
  8.0000e-13         155.388876737                     0        8201.67194851        -51521.7046881        -43320.0327396 
  8.0500e-13         155.427324209          312624517.83        8203.70126722        -51525.7789603        -43322.0776931 
  8.1000e-13         155.476656008         129976258.294        8206.30507799        -51530.9979695        -43324.6928915 
  8.1500e-13         155.532758777         81741309.6098        8209.26627136        -51536.9256402        -43327.6593688 
  8.2000e-13         155.584567503          109403403.19        8212.00081826        -51542.3948123         -43330.393994 
  8.2500e-13         155.640091818         246778744.267        8214.93147987        -51548.2515568        -43333.3200769 
  8.3000e-13         155.702939534         321509983.821        8218.24868223        -51554.8794058        -43336.6307236 
  8.3500e-13         155.754849847          74322164.482        8220.98859108         -51560.352802        -43339.3642109 
  8.4000e-13          155.80903333         255174203.089        8223.84848147        -51566.0698858        -43342.2214043 
  8.4500e-13         155.862378124         212840463.359         8226.6641045        -51571.7031221        -43345.0390175 
  8.5000e-13         155.919456284         181636284.394        8229.67678055        -51577.7376141        -43348.0608335 
  8.5500e-13         155.974390543         164925209.744        8232.57629808        -51583.5530488        -43350.9767508 
  8.6000e-13         156.020961279         204159977.793        8235.03437554        -51588.4906343        -43353.4562588 
  8.6500e-13         156.058960703         218130374.386        8237.04004555        -51592.5251442        -43355.4850987 
  8.7000e-13         156.077442174         166824611.502        8238.01552696        -51594.4987671        -43356.4832401 
  8.7500e-13         156.083353468         258228709.903        8238.32753445        -51595.1410749        -43356.8135404 
  8.8000e-13         156.070674508         163698268.533        8237.65831878         -51593.815347        -43356.1570282 
  8.8500e-13         156.041787642         223462769.507        8236.13362408        -51590.7711028        -43354.6374787 
  8.9000e-13         155.986848468         108581163.542        8233.23384715        -51584.9684056        -43351.7345584 
  8.9500e-13         155.908819506         81989636.5819        8229.11535449        -51576.7206064         -43347.605252 
  9.0000e-13         155.812878512         165819947.794        8224.05143631        -51566.5745621        -43342.5231258 
  9.0500e-13         155.703620756         222065613.383        8218.28463826        -51555.0172543         -43336.732616 
  9.1000e-13         155.585039877         355108443.386        8212.02575091        -51542.4717576        -43330.4460067 
  9.1500e-13         155.457696618         269936923.178        8205.30437128        -51529.0004546        -43323.6960833 
  9.2000e-13         155.324300945         188491582.265        8198.26353558        -51514.8913026        -43316.6277671 
  9.2500e-13         155.189561598         331460155.998        8191.15177865        -51500.6442915        -43309.4925129 
  9.3000e-13         155.054745936         212465349.622        8184.03599368        -51486.3952407         -43302.359247 
  9.3500e-13         154.920075388         331900785.583        8176.92786804        -51472.1689409        -43295.2410729 
  9.4000e-13         154.786583536         62961422.4363        8169.88195589        -51458.0751258        -43288.1931699 
  9.4500e-13         154.658331375         129784014.205        8163.11260295        -51444.5395063        -43281.4269034 
  9.5000e-13         154.533288799         326900782.542        8156.51265699        -51431.3445325        -43274.8318755 
  9.5500e-13         154.411205638         252692794.321        8150.06891363        -51418.4608723        -43268.3919587 
  9.6000e-13         154.291796365         146653865.965        8143.76630237        -51405.8563882        -43262.0900859 
  9.6500e-13         154.173675569         248032461.432        8137.53169899        -51393.3843969        -43255.8526979 
  9.7000e-13         154.060076993         204875712.088        8131.53578555        -51381.3864951        -43249.8507096 
  9.7500e-13         153.940942353         230300336.159        8125.24766985         -51368.801366        -43243.5536961 
  9.8000e-13          153.82330971          250083463.13        8119.03883194        -51356.3746741        -43237.3358422 
  9.8500e-13         153.710506806         155237625.911        8113.08491535        -51344.4588253        -43231.3739099 
  9.9000e-13         153.604228782         106129869.104        8107.47539228        -51333.2342214        -43225.7588292 
  9.9500e-13         153.500419506         141790447.353        8101.99617363        -51322.2724277         -43220.276254 
  1.0000e-12         153.398840915           157203191.8         8096.6346941        -51311.5475528        -43214.9128587 
