  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.0000e+00         99.6839352016                     0        5261.47657561        -45644.5029298        -40383.0263542 
  5.0000e-15         98.8243340771                     0        5216.10546169        -45553.6657351        -40337.5602734 
  1.0000e-14          97.416572224                     0        5141.80155304        -45404.9067225        -40263.1051695 
  1.5000e-14         95.4854490348                     0        5039.87380105        -45200.8404432        -40160.9666421 
  2.0000e-14         93.0655626275                     0        4912.14834939        -44945.1150372        -40032.9666878 
  2.5000e-14         90.2017602413                     0        4760.99230663        -44642.4605281        -39881.4682214 
  3.0000e-14         86.9495575969                     0        4589.33588076         -44298.734081        -39709.3982003 
  3.5000e-14         83.3753879606                     0        4400.68552521        -43920.9475148        -39520.2619896 
  4.0000e-14         79.5565115058                     0        4199.11915474        -43517.2591215        -39318.1399668 
  4.5000e-14         75.5803953513                     0        3989.25342296         -43096.909638         -39107.656215 
  5.0000e-14         71.5433749997                     0        3776.17307082        -42670.0821528         -38893.909082 
  5.5000e-14         67.5484412346                     0        3565.31411563        -42247.6691696        -38682.3550539 
  6.0000e-14         63.7020735116                     0        3362.29671232        -41840.9381364        -38478.6414241 
  6.5000e-14         60.1101645836                     0        3172.71004875        -41461.0998834        -38288.3898347 
  7.0000e-14          56.873240877                     0        3001.86006951        -41118.8014721        -38116.9414026 
  7.5000e-14         54.0813510253                     0        2854.49968465        -40823.5830003        -37969.0833157 
  8.0000e-14         51.8091290704                     0        2734.56819753        -40583.3523967        -37848.7841992 
  8.5000e-14         50.1115951967                     0        2644.96966097        -40403.9384116        -37758.9687507 
  9.0000e-14         49.0212067786                     0        2587.41722678        -40288.7767232        -37701.3594965 
  9.5000e-14         48.5465172277                     0        2562.36235763         -40238.767426        -37676.4050684 
  1.0000e-13         48.6725737412                     0        2569.01582082        -40252.3178505        -37683.3020297 
  1.0500e-13         49.3629429852                     0        2605.45460705        -40325.5586893        -37720.1040822 
  1.1000e-13         50.5630520271                     0        2668.79827019         -40452.699831        -37783.9015608 
  1.1500e-13         52.2044081498                     0        2755.43165575         -40626.479183        -37871.0475273 
  1.2000e-13         54.2092262445                     0        2861.24914201         -40838.654181        -37977.4050389 
  1.2500e-13         56.4950330865                     0        2981.89766107        -41080.4901799        -38098.5925188 
  1.3000e-13         58.9789073257                     0        3113.00049223        -41343.2095837        -38230.2090914 
  1.3500e-13         61.5811236594                     0        3250.34960727        -41618.3773131        -38368.0277059 
  1.4000e-13         64.2280762655                     0         3390.0599739        -41898.2095634        -38508.1495895 
  1.4500e-13         66.8544458442                     0        3528.68393562        -42175.8022645        -38647.1183289 
  1.5000e-13         69.4046405864                     0        3663.28726836        -42445.2826148        -38781.9953464 
  1.5500e-13         71.8335841213                     0        3791.49076962        -42701.8915413        -38910.4007717 
  1.6000e-13         74.1069463712                     0        3911.48244332        -42942.0073189        -39030.5248756 
  1.6500e-13         76.2009208293                     0        4022.00574418          -43163.12135        -39141.1156058 
  1.7000e-13         78.1016485418                     0        4122.32917459        -43363.7767354        -39241.4475609 
  1.7500e-13         79.8043789492                     0        4212.20199246        -43543.4791759        -39331.2771834 
  1.8000e-13         81.3124441278                     0        4291.80007008         -43702.588283        -39410.7882129 
  1.8500e-13         82.6361088397                     0        4361.66519791         -43842.195873        -39480.5306751 
  1.9000e-13         83.7913465692                     0        4422.64048185        -43963.9965104        -39541.3560285 
  1.9500e-13         84.7985829148                     0        4475.80401746        -44070.1546394         -39594.350622 
  2.0000e-13         85.6814426879                     0        4522.40275984        -44163.1721172        -39640.7693573 
  2.0500e-13         86.4655350898                     0        4563.78840335        -44245.7597634          -39681.97136 
  2.1000e-13         87.1773108852                     0         4601.3570614        -44320.7165091        -39719.3594477 
  2.1500e-13          87.843024817                     0        4636.49450105        -44390.8196665        -39754.3251655 
  2.2000e-13         88.4878340529                     0        4670.52855763        -44458.7295901        -39788.2010325 
  2.2500e-13         89.1350581666                     0         4704.6900753         -44526.911446        -39822.2213707 
  2.3000e-13           89.80561771                     0        4740.08327404        -44597.5759089        -39857.4926349 
  2.3500e-13         90.5176573886                     0        4777.66586027         -44672.639432        -39894.9735717 
  2.4000e-13         91.2863475437                     0         4818.2385487        -44753.7034203        -39935.4648716 
  2.4500e-13            92.1238459                     0        4862.44304339        -44842.0503884         -39979.607345 
  2.5000e-13         93.0393921721                     0        4910.76703115        -44938.6541801         -40027.887149 
  2.5500e-13         94.0395024793                     0        4963.55444312        -45044.2007327        -40080.6462896 
  2.6000e-13         95.1282291855                     0        5021.01916951        -45159.1157247        -40138.0965552 
  2.6500e-13         96.3074545125                     0        5083.26055698        -45283.5957465        -40200.3351895 
  2.7000e-13         97.5771921018                     0        5150.27932555        -45417.6402542        -40267.3609287 
  2.7500e-13         98.9358781615                     0        5221.99293579        -45561.0823715        -40339.0894357 
  2.8000e-13         100.380641271                     0        5298.24982956        -45713.6173948        -40415.3675652 
  2.8500e-13         101.907545872                     0        5378.84228184        -45874.8284978        -40495.9862159 
  2.9000e-13         103.511808142                     0        5463.51779491        -46044.2095117        -40580.6917168 
  2.9500e-13         105.187984387                     0        5551.98904184        -46221.1848072        -40669.1957654 
