  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  3.7000e-13         128.570637973                     0        6786.16267146        -109804.863643        -103018.700971 
  3.7500e-13         130.041603029                     0         6863.8025456        -110231.332247        -103367.529701 
  3.8000e-13         131.485867057                     0        6940.03309707        -110649.850584        -103709.817487 
  3.8500e-13         132.901379202         76614827.6391        7014.74607843        -111059.570116        -104044.824037 
  3.9000e-13         134.286297562                     0        7087.84427122        -111458.730037        -104370.885766 
  3.9500e-13         135.638364588         67247305.3857        7159.20851834        -111847.986354        -104688.777835 
  4.0000e-13          136.95658376                     0        7228.78622189        -112226.421909        -104997.635687 
  4.0500e-13         138.236524468         95679387.6907        7296.34352727        -112593.127094        -105296.783566 
  4.1000e-13         139.472311859         64455341.6535        7361.57035043        -112947.147474        -105585.577124 
  4.1500e-13         140.662513896                     0        7424.39110612        -113287.845274        -105863.454168 
  4.2000e-13         141.802386605                     0        7484.55539983        -113614.348878        -106129.793478 
  4.2500e-13          142.88716684         68692387.8638        7541.81182518        -113925.619018        -106383.807193 
  4.3000e-13         143.911738979         72339588.4443        7595.89037153        -114220.531183        -106624.640811 
  4.3500e-13         144.873055083         123012150.018        7646.63016378        -114497.913197        -106851.283033 
  4.4000e-13         145.767825037         60231310.5147        7693.85754446        -114756.753861        -107062.896317 
  4.4500e-13          146.58867108         147929573.612        7737.18310354        -114995.635041        -107258.451937 
  4.5000e-13         147.331233352          109263307.46        7776.37672079        -115213.541705        -107437.164984 
  4.5500e-13         147.996986973         174377643.926         7811.5162553         -115410.11231        -107598.596055 
  4.6000e-13         148.584131554          187868465.11        7842.50667974         -115584.91685        -107742.410171 
  4.6500e-13         149.092811386         301170528.894        7869.35560993        -115737.497878        -107868.142268 
  4.7000e-13          149.52589484         105260356.969        7892.21444314        -115868.287247        -107976.072804 
  4.7500e-13         149.888386431         134606213.616        7911.34732561        -115977.994614        -108066.647289 
  4.8000e-13         150.183420058          131710384.88        7926.91966949        -116067.311136        -108140.391467 
  4.8500e-13         150.416958257         41604328.1286        7939.24618691        -116137.821721        -108198.575534 
  4.9000e-13         150.600928302         110143278.251        7948.95641834        -116192.150635        -108243.194217 
  4.9500e-13         150.745626189         162480582.564        7956.59380288        -116232.442429        -108275.848626 
  5.0000e-13         150.859045188         196295316.806        7962.58023792        -116260.930907        -108298.350669 
  5.0500e-13         150.951681873         235451089.658        7967.46974945        -116279.624103        -108312.154354 
  5.1000e-13         151.030601236         406028516.408        7971.63523888        -116290.444411        -108318.809172 
  5.1500e-13          151.10295086         228379123.884        7975.45396706        -116294.875592        -108319.421625 
  5.2000e-13         151.163662418                     0        7978.65841959        -116292.871303        -108314.212884 
  5.2500e-13         151.211620612         154333746.645        7981.18972932        -116285.846669         -108304.65694 
  5.3000e-13         151.246050015          295741233.23        7983.00696798        -116273.332304        -108290.325336 
  5.3500e-13         151.270020595         119152158.232        7984.27217329        -116256.189376        -108271.917203 
